page	body_footnote_lines	table_footer	table_outside_frame	image_outside_frame	square_wrap_text_overlap	deferred_square_page_top_drift	table_cell_text_overlap	note
86	0	0	0	0	0	0	0	-
87	0	0	0	0	0	0	0	-
88	0	0	0	0	0	0	0	-
89	0	0	0	0	0	0	0	-
90	0	0	0	0	0	0	0	-
91	0	0	0	0	0	0	0	-
92	0	0	0	0	0	0	0	-
93	0	0	0	0	0	0	0	-
94	0	0	0	0	0	0	0	-
95	0	0	0	0	0	0	0	-
