role	path	grade	sha256
source	/Users/tsjang/rhwp/samples/정책연구용역사업 중간진도보고서(살아있는 간장 기증자의 의학적 선별기준 연구).hwp	원본 입력	50094a3db2b2003b293c5cbf43014d001aa97929acb488cef0cb7ea0e16b3113
reference_pdf	/Users/tsjang/rhwp/pdf/pr3740/hwp/정책연구용역사업 중간진도보고서(살아있는 간장 기증자의 의학적 선별기준 연구)-2020.pdf	한컴 2020 기준 PDF	7879ffee6313575132187c44c0090cd2e62c32c12c29b7eabd989181acf27b3a
