page	reference_only	svg_only	reference_only_chars	svg_only_chars	note
11	3	13	U+F000:\uf000×3	U+0032:2×1,U+0033:3×1,U+25B8:\u25b8×2,U+AC70:\uac70×1,U+AD00:\uad00×1,U+B9AC:\ub9ac×1,U+C120:\uc120×1,U+C559:\uc559×1,U+C6D0:\uc6d0×1,U+C704:\uc704×1,U+C911:\uc911×1,U+D68C:\ud68c×1	-
12	104	1	U+0028:(×2,U+0029:)×2,U+002E:.×1,U+0031:1×4,U+0032:2×5,U+0037:7×1,U+0038:8×2,U+2463:\u2463×1,U+300C:\u300c×1,U+300D:\u300d×1,U+AC70:\uac70×1,U+ACBD:\uacbd×1,U+ACFC:\uacfc×1,U+AD00:\uad00×1,U+AD6C:\uad6c×1,U+ADDC:\uaddc×1,U+B294:\ub294×2,U+B2C8:\ub2c8×1,U+B2E4:\ub2e4×1,U+B3D9:\ub3d9×1,U+B41C:\ub41c×1,U+B530:\ub530×1,U+B610:\ub610×1,U+B85C:\ub85c×1,U+B978:\ub978×1,U+B97C:\ub97c×1,U+B9AC:\ub9ac×1,U+BC94:\ubc94×4,U+BC95:\ubc95×1,U+C0AC:\uc0ac×1,U+C11C:\uc11c×2,U+C120:\uc120×1,U+C18C:\uc18c×1,U+C1A1:\uc1a1×1,U+C544:\uc544×1,U+C559:\uc559×1,U+C5D0:\uc5d0×4,U+C694:\uc694×1,U+C6A9:\uc6a9×1,U+C6B0:\uc6b0×1,U+C6D0:\uc6d0×1,U+C704:\uc704×1,U+C73C:\uc73c×1,U+C751:\uc751×1,U+C758:\uc758×2,U+C778:\uc778×4,U+C790:\uc790×1,U+C815:\uc815×1,U+C81C:\uc81c×5,U+C870:\uc870×3,U+C900:\uc900×3,U+C911:\uc911×1,U+C9C0:\uc9c0×1,U+D3EC:\ud3ec×1,U+D558:\ud558×2,U+D55C:\ud55c×2,U+D568:\ud568×1,U+D56D:\ud56d×2,U+D589:\ud589×5,U+D604:\ud604×4,U+D615:\ud615×1,U+D68C:\ud68c×1,U+F000:\uf000×2	U+25B8:\u25b8×1	-
