gate	command_scope	result	elided_terminal_hits	log_sha256
policy-host-sibling-owner	issue_3738_rowbreak_table_footnote_fragment::native_hwp5_table_host_footnotes_follow_the_terminal_fragment_page	1/1 passed	0	0dd007348bc9b40215f9b327f2f98d381056d7d288b4f7b08b0b095070e27865
issue1486-terminal-sliver	issue_1486_hwpx_partial_tac_table::issue_1486_terminal_rowbreak_sliver_does_not_push_pdf_page22_content	1/1 passed	0	82804247a4e711d3aeb4955a714501af0ca0b45d2713e3e86d438ac8559e447a
overflow-sample-sweep	overflow_cell_baseline::overflow_cell_lines_do_not_grow (678 samples, 3 skipped)	1/1 passed; 17 nonzero docs; 688 lines	0	7648e5d194767d4b46b32a333e28b1b4a7f52e72ed1bd74f92b9dc60fe3badc7
