page	body_footnote_lines	table_footer	table_outside_frame	image_outside_frame	square_wrap_text_overlap	deferred_square_page_top_drift	table_cell_text_overlap	note
2	0	0	0	0	0	0	0	-
3	0	0	0	0	0	0	0	-
4	0	0	0	0	0	0	0	-
