measure	pages	delta_from_reference	scope	note
reference_pdf	215	0	full PDF	comparison baseline
rhwp_svg	215	0	full export	dd58ddcc3 / binary 2924b9fdf27f final sweep
rhwp_render_tree	215	0	full render tree	dd58ddcc3 / binary 2924b9fdf27f final sweep
