measure	pages	delta_from_reference	scope	note
reference_pdf	215	0	full PDF	Hancom Office 2020 reference
rhwp_svg	215	0	full export	HEAD 66f129a7f / binary c88b9d912549
rhwp_render_tree	215	0	full render tree	HEAD 66f129a7f / binary c88b9d912549
