page	body_footnote_lines	table_footer	table_outside_frame	image_outside_frame	square_wrap_text_overlap	deferred_square_page_top_drift	table_cell_text_overlap	note
160	0	0	0	0	0	0	0	-
161	0	0	0	0	0	0	0	-
162	0	0	0	0	0	0	0	-
163	0	0	0	0	0	0	0	-
164	0	0	0	0	0	0	0	-
165	0	0	0	0	0	0	0	-
