page	diff%	note
11	24.93	
10	24.25	
14	23.0	
15	22.67	
12	20.91	
13	17.34	
9	16.72	
8	13.64	
4	12.97	
2	12.39	
7	11.64	
5	11.11	
16	10.83	
6	9.21	
3	8.27	
1	4.91	
17	1.94	
