page	body_footnote_lines	table_footer	table_outside_frame	image_outside_frame	square_wrap_text_overlap	deferred_square_page_top_drift	table_cell_text_overlap	note
10	0	9	10	0	0	0	0	-
11	0	5	9	0	0	0	0	-
12	0	7	9	0	0	0	0	-
13	0	5	9	0	0	0	0	-
14	0	4	9	0	0	0	0	-
15	0	2	9	0	0	0	0	-
16	0	2	10	0	0	0	0	-
