page	reference_only	visible_svg_only	clip_excluded_chars	note
78	0	905	0	candidate only; PDF text is preserved but visible rhwp text is substantially extra (possible early/duplicate page owner)
79	0	1734	0	candidate only; PDF text is preserved but visible rhwp text is substantially extra (possible early/duplicate page owner)
